date,gdp
1995-01-01,60.403
1995-04-01,59.103
1995-07-01,58.422
1995-10-01,55.297
1996-01-01,61.993
1996-04-01,61.674
1996-07-01,59.776
1996-10-01,58.896
1997-01-01,59.776
1997-04-01,57.143
1997-07-01,57.497
1997-10-01,56.172
1998-01-01,53.968
1998-04-01,54.911
1998-07-01,57.934
1998-10-01,59.094
1999-01-01,57.487
1999-04-01,56.672
1999-07-01,55.822
1999-10-01,55.076
2000-01-01,56.703
2000-04-01,59.87
2000-07-01,56.557
2000-10-01,57.466
2001-01-01,59.902
2001-04-01,59.293
2001-07-01,60.956
2001-10-01,62.478
2002-01-01,63.312
2002-04-01,64.682
2002-07-01,63.91
2002-10-01,64.563
2003-01-01,64.552
2003-04-01,66.178
2003-07-01,66.346
2003-10-01,65.393
2004-01-01,69.239
2004-04-01,71.02
2004-07-01,74.128
2004-10-01,75.453
2005-01-01,74.37
2005-04-01,75.127
2005-07-01,75.781
2005-10-01,78.093
2006-01-01,80.109
2006-04-01,81.335
2006-07-01,83.14
2006-10-01,83.143
2007-01-01,85.696
2007-04-01,86.919
2007-07-01,87.777
2007-10-01,91.043
2008-01-01,92.143
2008-04-01,95.784
2008-07-01,98.004
2008-10-01,98.214
2009-01-01,88.695
2009-04-01,89.293
2009-07-01,92.064
2009-10-01,92.901
2010-01-01,87.885
2010-04-01,88.737
2010-07-01,84.857
2010-10-01,87.297
2011-01-01,90.109
2011-04-01,91.605
2011-07-01,93.484
2011-10-01,89.259
2012-01-01,94.162
2012-04-01,94.204
2012-07-01,91.951
2012-10-01,91.076
2013-01-01,91.199
2013-04-01,92.758
2013-07-01,93.773
2013-10-01,94.699
2014-01-01,95.733
2014-04-01,96.039
2014-07-01,97.958
2014-10-01,98.028
2015-01-01,99.219
2015-04-01,100.376
2015-07-01,100.323
2015-10-01,100.083
2016-01-01,102.686
2016-04-01,102.606
2016-07-01,102.98
2016-10-01,103.169
2017-01-01,108.083
2017-04-01,111.304
2017-07-01,112.968
2017-10-01,112.804
2018-01-01,114.306
2018-04-01,116.628
2018-07-01,119.521
2018-10-01,118.718
2019-01-01,119.006
2019-04-01,121.846
2019-07-01,122.342
2019-10-01,124.56
2020-01-01,121.524
2020-04-01,111.52
2020-07-01,115.719
2020-10-01,121.442
2021-01-01,123.038
2021-04-01,124.319
2021-07-01,124.594
2021-10-01,124.525
2022-01-01,128.468
2022-04-01,128.736
2022-07-01,129.281
2022-10-01,130.783
2023-01-01,130.48
2023-04-01,131.818
2023-07-01,133.003
2023-10-01,133.645
2024-01-01,133.132
2024-04-01,132.537
2024-07-01,133.38
2024-10-01,134.743
2025-01-01,133.963
2025-04-01,135.333
2025-07-01,135.194
2025-10-01,132.617
